,Location Name,Category,Website,Seated,Reception,Neighborhood,Color,Address,Latitude,Longitude
83,Black Salt*,Seafood,Hold,0,0,Foxhall,Blue,"4883 MacArthur Blvd NW, Washington, DC",38.91760399,-77.09667219
84,BLT Steak,American/Steak,Hold,0,0,Downtown,Blue,"1625 I St NW, Washington, DC",38.90136811,-77.03752019
85,Arsenal/ Bluejacket Brewery,American,Hold,0,0,Southeast,Blue,"300 Tingey St SE, Washington, DC",38.87490816,-77.00130006
86,Bobby Van's Steakhouse,American/Steak,Hold,100,250,Downtown,Blue,"809 15th St. NW Washington, DC 20005",38.90049081,-77.03361021
87,Bourbon Steak,American/Steak,Hold,0,0,Georgetown,Grey,"2800 Pennsylvania Ave NW, Washington, DC",38.9050139,-77.05731794
88,Brabo Restaurant,Italian,Hold,0,0,Old Town,Blue,"1600 King St, Alexandria, VA",38.80631301,-77.05678413
89,Brasserie Beck,Belgian,Hold,0,0,Downtown,Blue,"1101 K St NW, Washington, DC",38.90254763,-77.02762131
90,Buca Di Beppo,Italian,Hold,0,0,Dupont Circle,Red,"1825 Connecticut Ave, NW, Washington DC",38.91513306,-77.04625586
91,Buffalo Billiards ,Casual,Hold,0,0,Dupont Circle,Red,"1330 19th St NW, Washington, DC",38.90810591,-77.04347294
92,Cactus Cantina,Mexican,Hold,0,0,Upper Northwest,Blue,"3300 Wisconsin Ave NW, Washington, DC",38.9335733,-77.07244367
93,Caf? Milano,Italian,Hold,0,0,Georgetown,Grey,"3251 Prospect St NW, Washington, DC",38.9060081,-77.06497084
94,Cantina Marina,Mexican,Hold,0,0,Southwest Waterfront,Blue,"600 Water St SW, Washington, DC",38.87656788,-77.02098942
95,Capital Grille,American/Steak,Hold,0,0,Penn Quarter/Chinatown,Green,"601 Pennsylvania Ave NW, Washington, DC",38.89304737,-77.02061296
96,Carmine's,Italian,Hold,0,0,Penn Quarter/Chinatown,Green,"425 7th St NW, Washington, DC",38.89570129,-77.02188572
97,Casa Luca,Italian,Hold,0,0,Downtown,Blue,"1099 New York Ave NW, Washington, DC",38.90139725,-77.02648025
98,Catch 15 Italian Kitchen & Oyster Bar,Italian,Hold,0,0,Downtown,Blue,"1518 K St NW, Washington, DC",38.90238329,-77.03544088
99,Caucus Room Brasserie,American,Hold,0,0,Georgetown,Grey,"2350 M St NW, Washington, DC",38.90523302,-77.05099026
100,Central Michel Richard,French,Hold,0,0,Downtown,Blue,"1001 Pennsylvania Ave NW, Washington, DC",38.89474788,-77.02668306
101,Charlie Palmer Steak,American/Steak,Hold,0,0,Capitol Hill,Sienna,"101 Constitution Ave NW, Washington, DC",38.89210795,-77.01313023
102,China Chilcano,Peruvian,Hold,0,0,Penn Quarter/Chinatown,Green,"418 7th St NW, Washington, DC",38.89509549,-77.02194397
103,Clyde's- Georgetown,Casual,Hold,0,0,Georgetown,Grey,"3236 M St NW, Washington, DC",38.90512346,-77.06403025
104,Clyde's- Chinatown,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"707 7th St NW, Washington, DC",38.8992603,-77.02187263
105,Co Co. Sala,Chocolates,Hold,0,0,Penn Quarter/Chinatown,Green,"929 F St NW, Washington, DC",38.89737002,-77.02512275
106,Cuba Libre,Cuban,Hold,0,0,Penn Quarter/Chinatown,Green,"801 9th St NW A, Washington, DC",38.89037258,-77.03195678
107,DBGB,French,Hold,0,0,Penn Quarter/Chinatown,Green,"931 H St NW, Washington, DC",38.89984108,-77.02463911
108,Del Campo,Latin,Hold,0,0,Downtown,Blue,"777 I St NW, Washington, DC",38.90089947,-77.02265068
109,Del Friscos's Double Eagle,American/Steak,Hold,0,0,Penn Quarter/Chinatown,Green,"950 I St NW #501, Washington, DC",38.90083425,-77.02499593
110,Del Friscos's Grille,American,Hold,0,0,Penn Quarter/Chinatown,Green,"1201 Pennsylvania Ave NW, Washington, DC",38.89532715,-77.02877286
111,District ChopHouse and Brewery,American,Hold,0,0,Penn Quarter/Chinatown,Green,"509 7th St NW #1, Washington, DC",38.89651017,-77.02188572
112,District Commons,American,Hold,0,0,Foggy Bottom,Orange,"2200 Pennsylvania Ave NW, Washington, DC",38.90207442,-77.04886083
113,El Centro,Mexican,Hold,0,0,U Street Corridor,Salmon,"14th St NW, Washington, DC",38.90721358,-77.01092582
114,Equinox,American,Hold,0,0,Downtown,Blue,"818 Connecticut Ave NW, Washington, DC",38.90099397,-77.03845844
115,Farmers Fishers Bakers,American/Farm to Table,Hold,0,0,Georgetown,Grey,"3000 K St NW, Washington, DC",38.90257805,-77.05922196
116,Fig & Olive,Mediterranean,Hold,0,0,Penn Quarter/Chinatown,Green,"934 Palmer Alley NW, Washington, DC",38.90032543,-77.02550317
117,Fiola ,Italian,Hold,0,0,Penn Quarter/Chinatown,Green,"601 Pennsylvania Ave NW, Washington, DC",38.89304737,-77.02061296
118,Fiola Mare,Italian/Seafood,Hold,0,0,Georgetown,Grey,"3100 K St NW, Washington, DC",38.90258652,-77.0612456
119,Fogo De Chao,Brazilian,Hold,0,0,Downtown,Blue,"1101 Pennsylvania Ave NW, Washington, DC",38.89497749,-77.02751292
120,Founding Farmers,American/Farm to Table,Hold,0,0,Foggy Bottom,Orange,"1924 Pennsylvania Ave NW, Washington, DC",38.90035821,-77.04397753
121,Garrison,American,Hold,0,0,Capitol Hill,Sienna,"524 8th St SE, Washington, DC",38.88255057,-76.99494557
122,Ghibellina,Italian,Hold,0,0,Logan Circle,Powder Blue,"1610 14th St NW, Washington, DC",38.91155138,-77.03197574
123,Gordon Beirsch,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"900 F St NW, Washington, DC",38.89731322,-77.02433101
124,Graffiato,Italian,Hold,0,0,Penn Quarter/Chinatown,Green,"707 6th St NW, Washington, DC",38.89867107,-77.01987517
125,H Street Country Club,Casual,Hold,0,0,H Street Corridor,Blue,"1335 H St NE, Washington, DC",38.90015362,-76.98705025
126,Hard Rock Caf?,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"999 E St NW, Washington, DC",38.89615818,-77.02552102
127,Hill Country BBQ,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"410 7th St NW, Washington, DC",38.89514066,-77.02194633
128,Iron Gate,Italian,Hold,0,0,Upper Northwest,Blue,"1734 N St NW, Washington, DC ",38.90721326,-77.03989088
129,J. Paul's,Casual,Hold,0,0,Georgetown,Grey,"3218 M St NW, Washington, DC",38.90513278,-77.06349994
130,Jaleo,Spanish,Hold,0,0,Penn Quarter/Chinatown,Green,"480 7th St NW, Washington, DC",38.8958306,-77.02194882
131,Joe's Stone Crab,Seafood,Hold,0,0,Downtown,Blue,"750 15th St NW, Washington, DC ",38.89986108,-77.03367626
132,Kapnos,Greek,Hold,0,0,U Street Corridor,Salmon,"2201 14th St NW, Washington, DC ",38.91919029,-77.03191514
133,Lauriol Plaza,Mexican,Hold,0,0,Dupont Circle,Red,"1835 18th St NW, Washington, DC",38.91531022,-77.04161587
134,Le Diplomate,French,Hold,0,0,Logan Circle,Powder Blue,"1601 14th St NW, Washington, DC",38.91136023,-77.03191514
135,Lincoln,American,Hold,0,0,Downtown,Blue,"1110 Vermont Ave NW, Washington, DC",38.90410711,-77.03290934
136,Lost Society,Casual,Hold,0,0,U Street Corridor,Salmon,"2001 14th St NW, Washington, DC",38.91700025,-77.03191514
137,Marcel's,French,Hold,0,0,Georgetown,Grey,"2401 Pennsylvania Ave NW, Washington, DC",38.90321665,-77.05200078
138,Masa 14,Asian,Hold,0,0,U Street Corridor,Salmon,"1825 14th St NW, Washington, DC ",38.91488014,-77.03191514
139,Mastro's,American/Steak,Hold,0,0,Downtown,Blue,"600 13th St NW, Washington, DC ",38.89784004,-77.02965633
140,Matchbox,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"713 H St NW, Washington, DC",38.89984825,-77.02254075
141,McCormick and Schmicks,American,Hold,0,0,Downtown,Blue,"1652 K St NW, Washington, DC",38.9023866,-77.03786289
142,Mintwood Place,French,Hold,0,0,Adams Morgan,Blue,"1813 Columbia Rd NW, Washington, DC",38.92217784,-77.04326024
143,Momofuku CCDC,Asian,Hold,0,0,Penn Quarter/Chinatown,Green,"1090 I St NW, Washington, DC",38.90133789,-76.9917147
144,Morton's Steakhouse,American/Steak,Hold,0,0,Downtown,Blue,"1050 Connecticut Ave NW, Washington, DC 20036 ",38.90363391,-77.03998879
145,Nopa,French,Hold,0,0,Penn Quarter/Chinatown,Green,"800 F St NW, Washington, DC",38.89719317,-77.02367132
146,Occidental Grill & Seafood,American,Hold,0,0,Downtown,Blue,"1475 Pennsylvania Ave NW, Washington, DC",38.89644006,-77.03340392
147,Ocean Prime,Seafood,Hold,0,0,Downtown,Blue,"1341 G St NW, Washington, DC",38.89834821,-77.03153983
148,Oceanaire,Seafood,Hold,0,0,Penn Quarter/Chinatown,Green,"1201 F St NW, Washington, DC ",38.897368,-77.0285211
149,Old Ebbitt Grill,American,Hold,0,0,Downtown,Blue,"675 15th St NW, Washington, DC",38.89803362,-77.03360611
150,Oval Room,American,Hold,0,0,Downtown,Blue,"800 Connecticut Ave NW, Washington, DC",38.90061401,-77.03822883
151,Oyamel,Mexican,Hold,0,0,Penn Quarter/Chinatown,Green,"401 7th St NW, Washington, DC ",38.89509055,-77.02187523
152,Pearl Dive Oyster Bar,Seafood,Hold,0,0,Logan Circle,Powder Blue,"1612 14th Street Northwest, Washington, DC",38.91162131,-77.03197574
153,Penn Commons,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"700 6th St NW, Washington, DC ",38.89896012,-77.01994627
154,Penn Social,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"801 E St NW, Washington, DC",38.89616107,-77.02307239
155,Ping Pong Dim Sum,Asian,Hold,0,0,Penn Quarter/Chinatown,Green,"900 7th St NW, Washington, DC",38.90116065,-77.02194633
156,PinStripes,American,Hold,0,0,Georgetown,Grey,"1064 Wisconsin Ave NW, Washington, DC",38.90451971,-77.06282626
157,PJ Clarke's,American,Hold,0,0,Downtown,Blue,"1600 K St NW, Washington, DC",38.90238329,-77.0368605
158,Proof,American,Hold,0,0,Penn Quarter/Chinatown,Green,"775 G St NW, Washington, DC",38.89848639,-77.02261687
159,Rasika West End,Indian,Hold,0,0,Foggy Bottom,Orange,"1190 New Hampshire Ave NW, Washington, DC 20037",38.90518168,-77.04764672
160,Restaurant Nora,Organic American,Hold,0,0,Dupont Circle,Red,"2132 Florida Ave NW, Washington, DC",38.91290107,-77.04729548
161,RFD,Casual,Hold,0,0,Penn Quarter/Chinatown,Green,"810 7th St NW, Washington, DC",38.90048114,-77.02194633
162,The Riggsby,American,Hold,0,0,Dupont Circle,Red,"1731 New Hampshire Ave NW, Washington, DC",38.91350948,-77.03977783
163,Ris,American,Hold,0,0,Foggy Bottom,Orange,"2275 L St NW, Washington, DC",38.90377387,-77.04981598
164,Ristorante Piccolo,Italian,Hold,0,0,Georgetown,Grey,"1068 31st St NW, Washington, DC",38.90468988,-77.06120616
165,RPM,Italian Steakhouse,Hold,0,0,Penn Quarter/Chinatown,Green,"650 K St NW, Washington, DC",38.90249731,-77.02092454
166,Rosa Mexicano,Mexican,Hold,0,0,Penn Quarter/Chinatown,Green,"575 7th St NW, Washington, DC",38.89700086,-77.02188572
167,Russia House,Russian,Hold,0,0,Dupont Circle,Red,"1800 Connecticut Ave NW, Washington, DC",38.91443374,-77.04621507
168,Ruth's Chris Steak House,American/Steak,Hold,0,0,Dupont Circle,Red,"1801 Connecticut Ave NW, Washington, DC",38.91417575,-77.04594963
169,Sea Catch,Seafood,Hold,0,0,Georgetown,Grey,"1054 31st St NW, Washington, DC",38.9045302,-77.06120616
170,SideCar,American,Hold,0,0,Downtown,Blue,"1600 K St NW, Washington, DC",38.90238329,-77.0368605
171,Sixth Engine,American,Hold,0,0,Downtown,Blue,"438 Massachusetts Ave NW, Washington, DC",38.90047415,-77.01711985
172,Sonoma,American,Hold,0,0,Capitol Hill,Sienna,"223 Pennsylvania Ave SE, Washington, DC",38.88715443,-77.00259147
173,Teddy and the Bully Bar,American,Hold,0,0,Dupont Circle,Red,"1200 19th St NW, Washington, DC",38.90610018,-77.04348539
174,The Hamilton,American,Hold,0,0,Downtown,Blue,"600 14th St NW, Washington, DC",38.89744183,-77.03199448
175,The Palm Restaurant,American/Steak,Hold,0,0,Dupont Circle,Red,"1225 19th St NW, Washington, DC",38.90665031,-77.04341546
176,The Source,Asian,Hold,0,0,Penn Quarter/Chinatown,Green,"575 Pennsylvania Ave NW, Washington, DC",38.89279794,-77.01971316
177,Tony and Joe's,Seafood,Hold,0,0,Georgetown,Grey,"3000 K St NW, Washington, DC",38.90257805,-77.05922196
178,Toro Toro,Latin,Hold,0,0,Downtown,Blue,"1300 I St NW, Washington, DC",38.90130284,-77.0303405
179,Ristorante Tosca,Italian,Hold,0,0,Downtown,Blue,"1112 F St NW, Washington, DC",38.89732311,-77.02724357
180,Woodward Table,American,Hold,0,0,Downtown,Blue,"1426 H St NW, Washington, DC",38.90017797,-77.03286406
181,Zaytinya,Mediterranean,Hold,0,0,Penn Quarter/Chinatown,Green,"701 9th St NW, Washington, DC",38.89861162,-77.0239254
182,Zengo,Asian,Hold,0,0,Penn Quarter/Chinatown,Green,"781 7th St NW, Washington, DC ",38.89952813,-77.02187263
